year,Latvia,US,Sweden
1990,0.169,0.28,0.47
1991,0.184,0.295,0.482
1992,0.196,0.301,0.495
1993,0.23,0.31,0.504
1994,0.264,0.326,0.516
1995,0.299,0.322,0.53
1996,0.331,0.324,0.539
1997,0.348,0.324,0.541
1998,0.371,0.328,0.547
1999,0.391,0.33,0.553
2000,0.404,0.332,0.553
2001,0.421,0.335,0.555
2002,0.431,0.34,0.56
2003,0.443,0.346,0.56
2004,0.453,0.358,0.554
2005,0.447,0.369,0.554
2006,0.438,0.385,0.555
2007,0.432,0.397,0.548
2008,0.432,0.406,0.547
2009,0.435,0.41,0.544
2010,0.444,0.408,0.542
2011,0.446,0.407,0.543
2012,0.45,0.407,0.545
2013,0.446,0.406,0.544
2014,0.44,0.402,0.546
